CLOSED_AT,OPENED_AT,OPEN,HIGH,LOW,CLOSE,VOLUME,COMPONENT,BUCKET
2022-01-01T00:00:59.999Z,2022-01-01T00:00:00Z,46216.93000000,46271.08000000,46208.37000000,46250.00000000,40.57574000,,2022
2022-01-01T00:01:59.999Z,2022-01-01T00:01:00Z,46250.00000000,46344.23000000,46234.39000000,46312.76000000,42.38106000,,2022
2022-01-01T00:02:59.999Z,2022-01-01T00:02:00Z,46312.76000000,46381.69000000,46292.75000000,46368.73000000,51.29955000,,2022
2022-01-01T00:03:59.999Z,2022-01-01T00:03:00Z,46368.73000000,46391.49000000,46314.26000000,46331.08000000,30.45894000,,2022
2022-01-01T00:04:59.999Z,2022-01-01T00:04:00Z,46331.07000000,46336.10000000,46300.00000000,46321.34000000,20.96029000,,2022
2022-01-01T00:05:59.999Z,2022-01-01T00:05:00Z,46321.34000000,46443.56000000,46280.00000000,46436.03000000,35.86682000,,2022
2022-01-01T00:06:59.999Z,2022-01-01T00:06:00Z,46436.03000000,46518.32000000,46432.50000000,46518.31000000,29.31849000,,2022
2022-01-01T00:07:59.999Z,2022-01-01T00:07:00Z,46518.31000000,46527.26000000,46427.06000000,46427.95000000,27.81847000,,2022
2022-01-01T00:08:59.999Z,2022-01-01T00:08:00Z,46427.94000000,46427.97000000,46383.78000000,46392.64000000,15.96245000,,2022
2022-01-01T00:09:59.999Z,2022-01-01T00:09:00Z,46392.64000000,46406.48000000,46350.96000000,46371.11000000,14.46954000,,2022
2022-01-01T00:10:59.999Z,2022-01-01T00:10:00Z,46369.79000000,46394.00000000,46341.55000000,46379.80000000,10.65734000,,2022
2022-01-01T00:11:59.999Z,2022-01-01T00:11:00Z,46379.80000000,46379.81000000,46293.32000000,46312.37000000,19.01268000,,2022
2022-01-01T00:12:59.999Z,2022-01-01T00:12:00Z,46312.38000000,46312.38000000,46276.22000000,46288.64000000,11.62620000,,2022
2022-01-01T00:13:59.999Z,2022-01-01T00:13:00Z,46288.81000000,46363.84000000,46288.64000000,46329.00000000,23.15078000,,2022
2022-01-01T00:14:59.999Z,2022-01-01T00:14:00Z,46329.00000000,46353.50000000,46320.30000000,46332.51000000,13.09874000,,2022
2022-01-01T00:15:59.999Z,2022-01-01T00:15:00Z,46332.52000000,46332.52000000,46312.38000000,46329.13000000,8.40902000,,2022
2022-01-01T00:16:59.999Z,2022-01-01T00:16:00Z,46329.12000000,46329.97000000,46307.84000000,46323.31000000,24.76988000,,2022
2022-01-01T00:17:59.999Z,2022-01-01T00:17:00Z,46323.31000000,46323.31000000,46280.61000000,46283.37000000,11.99892000,,2022
2022-01-01T00:18:59.999Z,2022-01-01T00:18:00Z,46283.36000000,46296.67000000,46266.32000000,46283.39000000,24.88379000,,2022
2022-01-01T00:19:59.999Z,2022-01-01T00:19:00Z,46283.39000000,46303.79000000,46236.27000000,46293.90000000,31.08154000,,2022
2022-01-01T00:20:59.999Z,2022-01-01T00:20:00Z,46295.42000000,46337.50000000,46286.25000000,46327.98000000,26.61854000,,2022
2022-01-01T00:21:59.999Z,2022-01-01T00:21:00Z,46327.97000000,46384.35000000,46290.84000000,46384.34000000,38.03832000,,2022
2022-01-01T00:22:59.999Z,2022-01-01T00:22:00Z,46384.35000000,46421.27000000,46371.97000000,46394.04000000,35.61633000,,2022
2022-01-01T00:23:59.999Z,2022-01-01T00:23:00Z,46394.03000000,46401.90000000,46360.18000000,46368.56000000,9.44557000,,2022
2022-01-01T00:24:59.999Z,2022-01-01T00:24:00Z,46368.56000000,46403.94000000,46368.55000000,46395.53000000,25.60603000,,2022
2022-01-01T00:25:59.999Z,2022-01-01T00:25:00Z,46395.53000000,46400.38000000,46380.32000000,46385.31000000,19.11556000,,2022
2022-01-01T00:26:59.999Z,2022-01-01T00:26:00Z,46385.32000000,46393.59000000,46385.31000000,46386.29000000,16.69766000,,2022
2022-01-01T00:27:59.999Z,2022-01-01T00:27:00Z,46386.29000000,46386.29000000,46345.10000000,46354.88000000,9.68098000,,2022
2022-01-01T00:28:59.999Z,2022-01-01T00:28:00Z,46354.88000000,46380.55000000,46352.51000000,46361.38000000,25.29168000,,2022
2022-01-01T00:29:59.999Z,2022-01-01T00:29:00Z,46361.38000000,46379.99000000,46352.41000000,46375.42000000,12.74591000,,2022
2022-01-01T00:30:59.999Z,2022-01-01T00:30:00Z,46375.42000000,46386.28000000,46360.19000000,46365.71000000,26.76485000,,2022
2022-01-01T00:31:59.999Z,2022-01-01T00:31:00Z,46365.72000000,46377.84000000,46365.71000000,46375.01000000,7.85249000,,2022
2022-01-01T00:32:59.999Z,2022-01-01T00:32:00Z,46375.00000000,46393.83000000,46375.00000000,46385.05000000,19.78791000,,2022
2022-01-01T00:33:59.999Z,2022-01-01T00:33:00Z,46385.04000000,46385.05000000,46375.00000000,46375.01000000,7.34391000,,2022
2022-01-01T00:34:59.999Z,2022-01-01T00:34:00Z,46375.02000000,46446.47000000,46375.01000000,46443.65000000,20.07690000,,2022
